precise_ID,sample_id,study,project,condition,rep_id,Biological Replicates,run_date,Strain Description,Strain,Base Media,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Trace Element Mixture,Supplement,Temperature (C),pH,Antibiotic for selection,Culture Type,Time in phase [h],Evolved Sample,Isolate Type,Sequencing Machine,Additional Details,DOI,GEO,Published,SRX,Run,LibraryLayout,Platform,passed_fastqc,passed_pct_reads_mapped,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_replicate_correlations
DDB_0294,DDB_PD_045_AMBR_R23__S1_RNAseq,DDB_PD_045_AMBR,ddb_pd_045,[DDB_PD_045]_[SDT189_del_yieP]_[Batch]_[0h],1,2,11/06/2021,Escherichia coli BW25113,SDT189,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,AMBR,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_045:[DDB_PD_045]_[SDT189_del_yieP]_[Batch]_[0h],TRUE
DDB_0295,DDB_PD_045_AMBR_R24__S1_RNAseq,DDB_PD_045_AMBR,ddb_pd_045,[DDB_PD_045]_[SDT189_del_yieP]_[Batch]_[0h],2,2,11/06/2021,Escherichia coli BW25113,SDT189,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,AMBR,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_045:[DDB_PD_045]_[SDT189_del_yieP]_[Batch]_[0h],TRUE
DDB_0297,DDB_PD_056_AMBR_R11__S03_RNAseq,DDB_PD_056_AMBR,ddb_pd_056,[DDB_PD_056]_[DDB35_child_reactor]_[Batch]_[0h],1,2,19/07/2021,Escherichia coli BW25113,DDB35,DDB_BM_003,glucose(4),NH4Cl(1),O2,DDB_TM_003,,30,6.5,,AMBR,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_056:[DDB_PD_056]_[DDB35_child_reactor]_[Batch]_[0h],TRUE
DDB_0298,DDB_PD_056_AMBR_R12__S03_RNAseq,DDB_PD_056_AMBR,ddb_pd_056,[DDB_PD_056]_[DDB35_child_reactor]_[Batch]_[0h],2,2,19/07/2021,Escherichia coli BW25113,DDB35,DDB_BM_003,glucose(4),NH4Cl(1),O2,DDB_TM_003,,30,6.5,,AMBR,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_056:[DDB_PD_056]_[DDB35_child_reactor]_[Batch]_[0h],TRUE
DDB_0300,DDB_PD_056_AMBR_R9__S13_RNAseq,DDB_PD_056_AMBR,ddb_pd_056,[DDB_PD_056]_[DDB35_parent_reactor]_[Fed-batch]_[20h],1,2,19/07/2021,Escherichia coli BW25113,DDB35,DDB_BM_003,glucose(4),NH4Cl(1),O2,DDB_TM_003,,30,6.5,,AMBR,20,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_056:[DDB_PD_056]_[DDB35_parent_reactor]_[Fed-batch]_[20h],TRUE
DDB_0301,DDB_PD_056_AMBR_R10__S13_RNAseq,DDB_PD_056_AMBR,ddb_pd_056,[DDB_PD_056]_[DDB35_parent_reactor]_[Fed-batch]_[20h],2,2,19/07/2021,Escherichia coli BW25113,DDB35,DDB_BM_003,glucose(4),NH4Cl(1),O2,DDB_TM_003,,30,6.5,,AMBR,20,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_056:[DDB_PD_056]_[DDB35_parent_reactor]_[Fed-batch]_[20h],TRUE
DDB_0302,DDB_PD_063_AMBR_R3__S03_RNAseq,DDB_PD_063_AMBR,ddb_pd_063,[DDB_PD_063]_[DDB35_WT]_[Batch]_[0h],1,2,01/09/2021,Escherichia coli BW25113,DDB35,DDB_BM_003,glucose(4),NH4Cl(1),O2,DDB_TM_003,,30,6.5,,AMBR,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_063:[DDB_PD_063]_[DDB35_WT]_[Batch]_[0h],TRUE
DDB_0303,DDB_PD_063_AMBR_R4__S03_RNAseq,DDB_PD_063_AMBR,ddb_pd_063,[DDB_PD_063]_[DDB35_WT]_[Batch]_[0h],2,2,01/09/2021,Escherichia coli BW25113,DDB35,DDB_BM_003,glucose(4),NH4Cl(1),O2,DDB_TM_003,,30,6.5,,AMBR,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_063:[DDB_PD_063]_[DDB35_WT]_[Batch]_[0h],TRUE
DDB_0304,DDB_PD_063_AMBR_R3__S07_RNAseq,DDB_PD_063_AMBR,ddb_pd_063,[DDB_PD_063]_[DDB35_WT]_[Fed-batch]_[5h],1,2,01/09/2021,Escherichia coli BW25113,DDB35,DDB_BM_003,glucose(4),NH4Cl(1),O2,DDB_TM_003,,30,6.5,,AMBR,5,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_063:[DDB_PD_063]_[DDB35_WT]_[Fed-batch]_[5h],TRUE
DDB_0305,DDB_PD_063_AMBR_R4__S07_RNAseq,DDB_PD_063_AMBR,ddb_pd_063,[DDB_PD_063]_[DDB35_WT]_[Fed-batch]_[5h],2,2,01/09/2021,Escherichia coli BW25113,DDB35,DDB_BM_003,glucose(4),NH4Cl(1),O2,DDB_TM_003,,30,6.5,,AMBR,5,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_063:[DDB_PD_063]_[DDB35_WT]_[Fed-batch]_[5h],TRUE
