,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
b0014,0.00379147354811305,-0.005231383438950931,0.035963771290553885,0.02986646990612861,-0.016774877923934606,-0.010579653857317328,0.004491603444586818,0.030973469797513895,0.0004915023227645616,0.007302170655516058,-0.0017243055743356487,-0.013867491659011607,-0.0024119016593684268,-0.042247843326254586,0.040040074178578744,0.02440368314082202,-0.002472924314339289,-0.010901187831391107,-0.02388196464648996,-0.00954168665835376,-0.0078760659969447,-0.008374077293445513,-0.01393854813029116,0.010537826742628851,-0.007822325315930342,-0.01922871132130909,-0.0008229183083710677,-0.00981152628626701,-0.03089353596525345,0.025017986201336294,0.029923990405704454,-0.009001492458971838,0.0021262911260380413,-0.016846782432921113,-0.007685758085982481,-0.008471129589815966,-0.012842632639147545,-0.010985461735550721,-0.04418547458539339
b0015,0.00722273265938697,-0.006759548642186038,0.027359487432076553,0.011467708643880182,-0.004158359737355319,-0.010125519214036278,-0.0047179415247929814,0.0041158257704987065,0.003349118588928553,0.002076192314705017,0.006454134735321074,-0.016434878946936043,-0.002231182510280724,-0.04236899985295846,0.05088150139648467,0.009794074697498855,0.0005320915997362301,-0.012949658230380787,-0.015197354040607063,-0.012995852517931887,-0.0020859186367429543,0.0009154697302396354,-0.006775381647644886,0.015128237251937515,0.00184442560405573,-0.01289467893419921,-0.00408704775857406,-0.007329720060383603,-0.01566809091762923,0.020714738801068992,0.005006057565871366,-0.015247003055170374,0.001172877253969242,-0.011262359626478797,-0.0027703204108286265,-0.008071685602478033,-0.021087155417492776,0.009812248450064136,-0.043163485105891866
b0016,0.003602117879522025,0.0030052147430409777,0.005710507233189373,-0.009864120144457778,-0.0006119513878821126,-0.019764728808107927,-0.010372046675571924,0.007260859189018367,0.002923479109599601,0.04829431213119311,0.004913992486659601,-0.005406627825358369,-0.004655643902228501,-0.013743568097691929,0.006697462814823481,0.0019886101847915376,0.0052296569142809305,-0.012768999027072363,-0.0019839231282624426,0.0019560018355899477,0.004805682113565542,-0.009180117803580457,0.004689174681318135,0.0017874469398052675,0.009001243449599973,-0.010832803589976948,0.0032432588742365848,-0.0018433736488611622,-0.00209849576593423,-0.014562626420025471,-0.0014698147218008806,-0.0029995133654934203,-0.0021176739236542573,-0.003451409026563131,0.0029634485232448472,0.0010835159961916643,9.790296405156533e-05,-0.006266542927130844,-0.036059062321913506
b0018,-0.010322485334981696,0.007775745564049105,-0.013773896390375262,0.002933524871888843,0.004198422241858147,0.01687677104953617,-0.008345176197203577,0.010692738703320152,-0.005722686395995836,0.014870766345972309,-0.014183307317335048,0.004905519290988109,0.00010495397005929537,-0.0007684775602661729,0.005991876726845661,-0.0016533438310951342,-0.0008522609162999933,0.006605764341751019,-0.035567863262379804,0.0062583306597998566,0.0045590760426207555,-0.009607980273355403,-0.005649924814181976,0.005365067161583616,-0.0013530582220313407,0.015351365543110175,0.009749657130286402,0.002017441024729947,0.007621897486490038,0.023491033275902597,-0.00752686216334944,0.011847707245954756,-0.005277601669624755,0.02438111928771534,-0.006811975400281231,-0.006113629958339845,0.009005001349554934,-0.005316496447006653,-0.01809501514262518
b0019,0.0012766945337820293,0.00030746947464995144,-0.013370686429399491,-0.0014179132086687013,-0.0026083141202108808,0.02946632251451355,0.004595498687156375,0.011826901738276769,-0.007881513760850844,0.034120193045601904,-0.005775486483849666,-0.0014969842631494547,-0.006460417860546368,0.010938942406816065,-0.002892972306063299,0.0015665172961793388,0.0028193763875406595,-0.00819679858948299,0.008204944498584874,0.01400493903004602,-0.013190156440407346,-0.0034925217521175507,-0.03561111989259323,0.033771465404693,-0.007325455327948864,-0.0018262006091455216,-0.013393059267831514,-0.011848074663590346,0.0012028827447955889,-0.0015908933652185734,-0.017487356168066303,-0.0030686253477712772,-0.004734112454711335,-0.0016702626825541278,-0.011447723406671053,0.0008180816586385001,0.00797402001998952,-0.004256054472725415,-0.014351405316746552
b0020,-0.0032475914059881803,-0.0014989257927588199,-0.002674160030911548,-0.017883424123532898,0.0021239790961508805,-0.0020763938221125154,0.0012139065138581555,-0.0026744700534739206,-1.815691985694837e-05,0.031201897451123832,-0.003172027517324773,-0.0009112201234517867,-0.0026072357300536936,-0.004145315605178528,0.00012709901311823023,-0.0062082581544709095,-0.00011391176214601045,0.0013232635377777142,0.0015090853496971188,0.002407666011025665,-0.001392902205506078,-0.001953819652238297,-0.03507150314903793,0.0015983204684912925,-0.0007780576210210711,0.004288783258942149,-0.00568679920510943,-0.002912167382411257,0.0008861274926849102,0.003810531487329519,-0.001319227874122155,-0.0005959082297345489,-0.005982365614129991,-4.872711592234207e-05,-0.004145028245120987,-0.0012260478929159695,-0.00018135463341851068,-0.001471077368352844,-0.01380967775390393
b0021,0.022646347707318593,-0.017051538338889966,-0.010505599253462658,-0.00546889615428203,-0.010777621065585585,-0.013810844289405046,-0.008386342984902644,-0.014629909929267314,0.010633218140465256,0.012143579845118473,0.01903385841588387,-0.009258686106607369,-0.017678652899136692,0.0015309708127111243,0.00531408250094177,0.01053801631447786,0.015094239042020077,0.012550484241604794,0.022033724762801233,0.004760577425498494,0.012365159601427657,-0.003665485251163007,0.0021240561248480694,-0.010402263363348098,-0.008246220803028627,-0.0017921162292722772,0.0011501403248917977,-0.006498167660375174,0.03939213856771617,-0.015089519127544223,-0.0023851726531269896,0.012385632212605881,0.00024575034699385556,-0.006366045056630052,0.014740018406135202,0.020309260630063792,0.012543718540466027,-0.006969248491939557,-0.01181568081527698
b0022,0.003905870702253733,0.010204198201386343,-0.0023647295369092687,-0.0007007382362108765,-0.01948165877890347,-0.029325406847505793,-0.00897450592024512,-0.01019395614419943,0.007982659116741609,0.02934280216390686,-0.0034667190228908087,-0.012268858058027677,-0.011511007612782877,0.0034243879194463447,0.007373792104333167,0.000711938004616678,0.005556897848935875,-0.0004133001878401263,0.0016167274357733303,-0.004622055894849969,0.005845293407985578,0.003342817529604839,0.00019121160891446412,0.002201345920612419,-0.0014208444132496273,0.0026474053338947593,0.007226093982164008,-0.007623595649211581,0.011263287701891984,-0.004459925173606353,-0.006321609050304215,0.0010871979721730433,-0.003658809766752135,-0.007191227880051604,0.002798561146737916,0.009212080474288111,-0.008970462753336473,-0.0054128517953657375,-0.008246045456431775
b0023,-0.0008173153080930134,0.020863962700494808,0.007692015919426736,0.012491524303584228,-0.0021691096817710188,0.023467113234747438,0.013380876303072713,-0.003425352973790403,0.0013244196641377754,-0.006702646329553299,-0.020529797235270222,-0.00619148058852466,0.004478389333108195,0.021558483581608535,0.002304154329885509,0.011513390244063618,-0.01385433187251632,0.015432704821549313,-0.0004789754731460392,0.0016162836465018302,-0.009328078330814601,-0.002898527945251832,-0.006799928395877327,-0.02073982809829931,-0.004126695699158255,-0.000633459611067673,0.00510588635047732,0.0029089002849711277,0.009808697833581868,0.0177508387376359,-0.0351290981537812,-0.022780681800861853,-0.0013768075041742781,-0.000797992736762833,-0.014177511403274154,0.009313024679331988,-0.0541068174812337,0.002392530863013261,0.007679018497367425
b0024,-0.011243274050212025,0.012609274808207704,-0.004865521817910588,-0.013389380115237685,-0.0020377145780891433,-0.0202186025125166,-0.010958743238808822,0.0077012901978077775,0.004598715030352025,-0.007683966117172107,-0.002957940002943713,-0.007072668865661231,-0.0034544471431315086,0.009910260803587558,-0.006051531257685784,-0.004546704838137892,-0.005519011155477241,0.032494073241089126,-0.0005387242662078396,-0.00662271597031393,0.009189006258500686,-0.0033547641876528734,-0.009058107846196149,0.0316334047665174,-0.0024952135310213116,-0.008465385014981152,0.0052450009947756,-0.01034060960270565,0.02757758381306152,-0.01748493792410081,-0.0002617909076894271,-0.009202999696503135,-0.006941770949411941,-0.008190860604279603,-0.00490890906443835,-0.003151910944505995,0.03099694554298903,-0.0015864844733165537,0.0012444132490151956
